Date,Incident_Totals,SMA_30,EMA_30,WMA_30,HMA_30,Short_MA,Long_MA
2023-03-27,28,25.8,25.969011386825816,26.251612903225805,26.079964157706097,26.3,25.8
2023-03-28,18,25.7,25.453323699707802,25.748387096774195,25.60172043010753,25.8,25.7
2023-03-29,22,25.9,25.229897186121555,25.509677419354837,24.994838709677417,25.0,25.9
2023-03-30,32,26.0,25.66783584160846,25.903225806451612,24.974551971326164,24.6,26.0
2023-03-31,26,26.233333333333334,25.689318920255644,25.903225806451612,24.98179211469534,25.0,26.233333333333334
2023-04-01,29,26.233333333333334,25.90340657874526,26.081720430107527,25.232293906810035,26.1,26.233333333333334
2023-04-02,21,25.933333333333334,25.586371572777416,25.744086021505375,25.205125448028674,25.3,25.933333333333334
2023-04-03,28,26.033333333333335,25.74240546899841,25.87741935483871,25.29878136200717,25.2,26.033333333333335
2023-04-04,25,26.066666666666666,25.69441744582602,25.810752688172045,25.265842293906807,25.7,26.066666666666666
2023-04-05,25,25.9,25.649536794490587,25.741935483870968,25.256344086021503,25.4,25.9
2023-04-06,25,25.933333333333334,25.607561615916538,25.683870967741935,25.246559139784946,25.1,25.933333333333334
2023-04-07,19,25.9,25.180605246466374,25.236559139784948,24.867132616487456,25.2,25.9
2023-04-08,32,25.766666666666666,25.621205347715186,25.63010752688172,24.99713261648746,26.2,25.766666666666666
2023-04-09,18,25.6,25.12884652727105,25.129032258064516,24.68767025089606,24.8,25.6
2023-04-10,15,25.066666666666666,24.474541922470504,24.44516129032258,23.839605734767023,23.7,25.066666666666666
